Delta_TP9,Delta_AF7,Delta_AF8,Delta_TP10,Theta_TP9,Theta_AF7,Theta_AF8,Theta_TP10,Alpha_TP9,Alpha_AF7,Alpha_AF8,Alpha_TP10,Beta_TP9,Beta_AF7,Beta_AF8,Beta_TP10,Gamma_TP9,Gamma_AF7,Gamma_AF8,Gamma_TP10
1.115973925,0.095886464,0.260128123,1.091524884,0.376816525,-0.248139915,-0.183157353,0.254972768,0.609156395,0.017169944,0.224385646,0.478037539,0.24949419,-0.297995746,-0.219896164,0.202966914,-0.064432807,-0.70316727,-0.236916089,0.102314807
1.115973925,0.095886464,0.260128123,1.091524884,0.376816525,-0.248139915,-0.183157353,0.254972768,0.609156395,0.017169944,0.224385646,0.478037539,0.24949419,-0.297995746,-0.219896164,0.202966914,-0.064432807,-0.70316727,-0.236916089,0.102314807
1.115973925,0.095886464,0.260128123,1.091524884,0.376816525,-0.248139915,-0.183157353,0.254972768,0.609156395,0.017169944,0.224385646,0.478037539,0.24949419,-0.297995746,-0.219896164,0.202966914,-0.064432807,-0.70316727,-0.236916089,0.102314807
1.115973925,0.095886464,0.260128123,1.091524884,0.376816525,-0.248139915,-0.183157353,0.254972768,0.609156395,0.017169944,0.224385646,0.478037539,0.24949419,-0.297995746,-0.219896164,0.202966914,-0.064432807,-0.70316727,-0.236916089,0.102314807
1.115973925,0.095886464,0.260128123,1.091524884,0.376816525,-0.248139915,-0.183157353,0.254972768,0.609156395,0.017169944,0.224385646,0.478037539,0.24949419,-0.297995746,-0.219896164,0.202966914,-0.064432807,-0.70316727,-0.236916089,0.102314807
1.115973925,0.095886464,0.260128123,1.091524884,0.376816525,-0.248139915,-0.183157353,0.254972768,0.609156395,0.017169944,0.224385646,0.478037539,0.24949419,-0.297995746,-0.219896164,0.202966914,-0.064432807,-0.70316727,-0.236916089,0.102314807
1.115973925,0.095886464,0.260128123,1.091524884,0.376816525,-0.248139915,-0.183157353,0.254972768,0.609156395,0.017169944,0.224385646,0.478037539,0.24949419,-0.297995746,-0.219896164,0.202966914,-0.064432807,-0.70316727,-0.236916089,0.102314807
1.115973925,0.095886464,0.260128123,1.091524884,0.376816525,-0.248139915,-0.183157353,0.254972768,0.601526259,-0.051793683,0.157923758,0.443825306,0.24949419,-0.297995746,-0.219896164,0.202966914,-0.064432807,-0.70316727,-0.236916089,0.102314807
1.115973925,0.095886464,0.260128123,1.091524884,0.376816525,-0.248139915,-0.183157353,0.254972768,0.601526259,-0.051793683,0.157923758,0.443825306,0.24452261,-0.328734225,-0.313150614,0.140881074,-0.064432807,-0.70316727,-0.236916089,0.102314807
0.997671766,-0.015416237,0.155004654,0.980175943,0.376816525,-0.248139915,-0.183157353,0.254972768,0.601526259,-0.051793683,0.157923758,0.443825306,0.24452261,-0.328734225,-0.313150614,0.140881074,-0.064432807,-0.70316727,-0.236916089,0.102314807
