TimeStamp,RAW_TP9,RAW_AF7,RAW_AF8,RAW_TP10,AUX_RIGHT,Accelerometer_X,Accelerometer_Y,Accelerometer_Z,Gyro_X,Gyro_Y,Gyro_Z,HeadBandOn,HSI_TP9,HSI_AF7,HSI_AF8,HSI_TP10,Battery,Elements
26:27.2,745.018315,855.8241758,876.7765568,750.6593407,813.1135531,-0.024353,0.192871,0.991516,-1.61499,3.753357,3.813171,1,1,1,1,1,58.046875,
26:27.2,745.8241758,848.974359,886.4468864,756.7032967,819.96337,-0.024353,0.192871,0.991516,-1.61499,3.753357,3.813171,1,1,1,1,1,58.046875,
26:27.9,749.047619,875.970696,851.3919414,742.1978022,827.6190476,-0.018127,0.194946,0.992554,-1.084137,3.39447,3.730927,1,1,1,1,1,58.046875,
26:27.4,749.8534799,863.4798535,855.4212454,758.7179487,765.5677656,-0.019775,0.195068,0.987671,-1.151428,3.237457,3.267365,1,1,1,1,1,58.046875,
26:27.2,751.0622711,855.8241758,900.1465201,762.7472527,832.0512821,-0.024353,0.192871,0.991516,-1.61499,3.753357,3.813171,1,1,1,1,1,58.046875,
26:29.3,751.0622711,837.6923077,857.4358974,759.9267399,758.3150183,-0.020691,0.194214,0.987915,-0.91217,3.18512,4.007568,1,1,1,1,1,58.046875,
26:27.9,753.4798535,873.5531136,848.974359,749.8534799,784.5054945,-0.018127,0.194946,0.992554,-1.084137,3.39447,3.730927,1,1,1,1,1,58.046875,
26:29.3,753.4798535,849.3772894,867.1062271,763.1501832,803.4432234,-0.020691,0.194214,0.987915,-0.91217,3.18512,4.007568,1,1,1,1,1,58.046875,
26:27.2,757.9120879,846.1538462,876.3736264,758.7179487,813.5164835,-0.024353,0.192871,0.991516,-1.61499,3.753357,3.813171,1,1,1,1,1,58.046875,
26:27.4,758.3150183,857.032967,862.2710623,762.7472527,772.014652,-0.019775,0.195068,0.987671,-1.151428,3.237457,3.267365,1,1,1,1,1,58.046875,
26:27.2,759.5238095,857.032967,898.9377289,766.3736264,865.0915751,-0.024353,0.192871,0.991516,-1.61499,3.753357,3.813171,1,1,1,1,1,58.046875,
26:27.4,759.5238095,858.2417582,884.8351648,768.3882784,880.4029304,-0.019775,0.195068,0.987671,-1.151428,3.237457,3.267365,1,1,1,1,1,58.046875,
26:27.9,761.9413919,877.5824176,867.9120879,758.7179487,815.5311355,-0.018127,0.194946,0.992554,-1.084137,3.39447,3.730927,1,1,1,1,1,58.046875,
