Delta_TP9,Delta_AF7,Delta_AF8,Delta_TP10,Theta_TP9,Theta_AF7,Theta_AF8,Theta_TP10,Alpha_TP9,Alpha_AF7,Alpha_AF8,Alpha_TP10,Beta_TP9,Beta_AF7,Beta_AF8,Beta_TP10,Gamma_TP9,Gamma_AF7,Gamma_AF8,Gamma_TP10,RAW_TP9,RAW_AF7,RAW_AF8,RAW_TP10,AUX_RIGHT
0.250067313,-0.19145717,-0.496119789,0.043355856,0.322231808,-0.566986771,-0.671329769,0.241543193,0.250002566,-0.508594638,-0.517464527,0.560086418,0.003401154,-0.73310077,-0.527490437,-0.029652928,-0.422961312,-1.087830202,-0.971635258,-0.56797991,833.6630037,841.3186813,844.5421245,837.6923077,838.4981685
0.345006895,-0.178990504,-0.423142212,0.115646571,0.24200588,-0.549314049,-0.632733157,0.196646807,0.335814411,-0.519778413,-0.333004194,0.471999972,0.092623205,-0.608005349,-0.444673492,0.033434984,-0.334704545,-1.109437683,-0.95387843,-0.506181971,838.0952381,842.5274725,854.2124542,842.9304029,832.0512821
0.565331425,-0.302068596,-0.321179244,0.189038067,0.19324971,-0.634158198,-0.490427422,0.126911154,0.810396315,-0.583829201,-0.111195026,0.763633498,0.07873406,-0.487449802,-0.373036843,0.101446719,-0.336908143,-1.14732543,-1.003555102,-0.400318864,840.5128205,843.3333333,848.5714286,840.5128205,849.3772894
0.49892455,-0.339276969,-0.320153855,0.07082481,0.116592812,-0.697584856,-0.606859202,-0.009189787,0.887031716,-0.417121516,-0.108859291,0.772658691,0.125243409,-0.438210805,-0.353397699,0.160339702,-0.372412432,-1.044539854,-0.962806994,-0.317852984,832.0512821,845.3479853,845.3479853,839.7069597,865.4945055
0.434833534,-0.455508745,-0.403158192,0.1670434,0.068744619,-0.612159944,-0.610384319,-0.037547684,0.893378718,-0.292446687,-0.11187086,0.78293152,0.210149168,-0.411585884,-0.434416181,0.227162297,-0.422321499,-1.092082289,-1.001871042,-0.276592385,830.03663,848.5714286,841.3186813,828.021978,842.1245421
0.05077532,-0.557083389,-0.436556741,0.128361282,-0.0256837,-0.425493935,-0.548413434,0.021002964,0.851255709,-0.299610566,-0.302059363,0.727753194,0.215017295,-0.475381525,-0.434728667,0.20302547,-0.488180385,-1.085225839,-1.048866731,-0.311211489,824.7985348,844.5421245,842.9304029,825.2014652,854.2124542
0.013036841,-0.455110606,-0.619209131,0.069158548,-0.03254658,-0.339955827,-0.374642185,-0.008863355,0.771468866,-0.208456713,-0.426118005,0.723350974,0.147152038,-0.510313372,-0.463333185,0.178355693,-0.526845081,-1.120361886,-0.999169153,-0.350952304,824.7985348,845.3479853,845.3479853,830.8424908,833.6630037
0.015562533,-0.504695493,-0.706320033,0.008080972,-0.046087702,-0.39425831,-0.375525123,0.03117813,0.249253918,-0.353727409,-0.44874961,0.317598821,0.025896073,-0.595133821,-0.433272951,0.123189616,-0.560975038,-1.04465514,-0.918026682,-0.312365153,831.6483516,850.5860806,841.3186813,838.0952381,837.2893773
0.017719324,-0.531167455,-0.845523444,0.066317933,-0.002353515,-0.52254918,-0.479895093,-0.033168188,0.21614354,-0.354359193,-0.473446918,0.27945472,0.112185924,-0.664257804,-0.518604209,0.142127092,-0.530065414,-1.092739955,-0.885656632,-0.234528075,830.4395604,842.9304029,844.1391941,833.6630037,840.5128205
0.108600994,-0.66379059,-0.526216518,0.250285889,0.039174049,-0.625597888,-0.685830733,0.050374164,0.258090393,-0.365327721,-0.701887434,0.257893748,0.18601579,-0.68867386,-0.553772767,0.106812978,-0.508832398,-1.157425294,-0.908994454,-0.195142278,840.5128205,845.7509158,841.3186813,844.9450549,838.4981685
0.166649366,-0.576136949,-0.30572691,0.340235923,0.010882131,-0.542440625,-0.742032797,0.052502841,0.267130721,-0.288239573,-0.3703898,0.345380412,0.229277599,-0.664388644,-0.49577694,0.154206272,-0.560467804,-1.220014116,-0.959903049,-0.20633829,846.959707,841.7216117,844.5421245,843.3333333,868.7179487
0.340393156,-0.436246889,-0.224750861,0.322044216,0.104854527,-0.4935975,-0.754862288,0.152290508,0.748554576,-0.111246114,-0.25421553,0.781812871,0.194125548,-0.582554906,-0.48863203,0.160235858,-0.615453943,-1.216731083,-0.935977065,-0.248597145,834.4688645,853.4065934,842.1245421,828.021978,817.1428571
0.339698969,-0.259016412,-0.198701896,0.279615122,0.254291555,-0.333034297,-0.612664628,0.210771514,0.8397217,-0.074379404,-0.225610606,0.879734131,0.154024416,-0.510000697,-0.407232282,0.269061431,-0.502585553,-1.083402194,-0.894998293,-0.317058235,831.2454212,846.959707,839.7069597,832.0512821,836.8864469
0.310597972,-0.18085637,-0.274906712,0.166690271,0.236007945,-0.384875178,-0.522896135,0.275434589,0.863492736,-0.098061119,-0.331851235,1.098125459,0.14749114,-0.452675563,-0.430312157,0.319917459,-0.429384195,-0.867514289,-0.898193213,-0.24340178,840.9157509,848.1684982,840.1098901,832.0512821,859.8534799
0.03872392,-0.226915681,-0.336273519,0.094512495,0.120528461,-0.321155469,-0.337339797,0.257619156,0.850907251,-0.105845965,-0.303906644,1.098125459,0.180508855,-0.499482287,-0.391433108,0.339078921,-0.42533914,-0.820654143,-0.879898402,-0.218804378,843.7362637,849.7802198,840.5128205,829.2307692,845.7509158
0.209243833,-0.343083067,-0.441102154,0.174260041,0.088382547,-0.39022587,-0.449241501,0.20590046,0.681420217,-0.207845764,-0.371923075,1.043553047,0.155608996,-0.496497037,-0.44542367,0.309007971,-0.523533431,-0.875157001,-0.918540808,-0.201994413,832.0512821,844.5421245,844.1391941,835.2747253,812.7106227
0.452678985,-0.247291317,-0.518642329,0.190291164,0.291583721,-0.242655606,-0.551000973,0.164220165,0.669514701,-0.370277118,-0.363095137,0.945900419,0.066722052,-0.557547022,-0.471246398,0.244465535,-0.53771134,-1.07988036,-0.938368462,-0.287580448,836.4835165,842.9304029,843.7362637,834.8717949,834.4688645
