Delta_TP9,Delta_AF7,Delta_AF8,Delta_TP10,Theta_TP9,Theta_AF7,Theta_AF8,Theta_TP10,Alpha_TP9,Alpha_AF7,Alpha_AF8,Alpha_TP10,Beta_TP9,Beta_AF7,Beta_AF8,Beta_TP10,Gamma_TP9,Gamma_AF7,Gamma_AF8,Gamma_TP10,RAW_TP9,RAW_AF7,RAW_AF8,RAW_TP10,AUX_RIGHT,Accelerometer_X,Accelerometer_Y,Accelerometer_Z,Gyro_X,Gyro_Y,Gyro_Z
0.100726563,-0.404384418,-0.596234572,0.096172994,0.021966224,-0.477722834,-0.930234567,-0.005812155,0.515801103,-0.25833863,-0.455868422,0.570462626,0.188062767,-0.483423499,-0.523565959,0.189317177,-0.338390682,-1.027084361,-0.868356118,-0.199131948,831.6483516,840.9157509,840.5128205,836.4835165,834.0659341,-0.16571,0.133972,0.967773,-1.884155,2.512207,3.110352
0.185190001,-0.46017819,-0.517795978,0.121600913,0.003635876,-0.579257146,-0.632459204,0.145475998,0.614195383,-0.311980918,-0.395767295,0.636735299,0.194347123,-0.531604053,-0.651605506,0.263481991,-0.271044118,-0.955213528,-0.890063632,-0.18365731,840.5128205,847.3626374,844.1391941,836.8864469,857.032967,-0.166687,0.132996,0.965149,-1.562653,2.474823,3.74588
0.08380293,-0.517652355,-0.439646027,0.05407108,0.008155108,-0.604334304,-0.486212059,0.26208541,0.712944265,-0.19661491,-0.558110608,0.772692051,0.193653415,-0.63686668,-0.689960527,0.234936934,-0.296948359,-1.011312772,-0.94675385,-0.17571204,836.0805861,846.5567766,839.7069597,830.8424908,790.1465201,-0.165039,0.133606,0.966736,-1.929016,2.66922,2.751465
0.001867456,-0.676016255,-0.464568328,-0.025605098,-0.000883618,-0.463792485,-0.400265003,0.262467823,0.723999801,-0.107975166,-0.431200944,0.793745702,0.167401882,-0.727521877,-0.712229698,0.190652784,-0.476253146,-1.112044698,-0.976509266,-0.245139591,841.7216117,846.1538462,840.5128205,836.0805861,866.7032967,-0.166382,0.128906,0.961182,-1.809387,2.579498,3.663635
-0.080739437,-0.735690642,-0.616577944,-0.02911861,0.068808557,-0.489015894,-0.471289091,0.26368359,0.723999801,-0.089301641,-0.351107471,0.793745702,0.231562818,-0.646965448,-0.589773224,0.161777639,-0.613298729,-1.229789231,-0.952896737,-0.285252642,840.1098901,846.5567766,839.7069597,835.2747253,825.6043956,-0.171265,0.133667,0.966675,-1.622467,2.908478,3.880463
0.013422565,-0.799302691,-0.567767794,-0.051903852,0.192403983,-0.620265159,-0.556067202,0.132941599,0.55037915,-0.097071648,-0.318678661,0.638476363,0.135919262,-0.595829068,-0.586180819,0.122808467,-0.650581701,-1.149407456,-0.980385398,-0.342677495,847.7655678,845.3479853,848.5714286,844.9450549,892.4908425,-0.169922,0.131775,0.96637,-1.704712,2.302856,3.738403
0.152163791,-0.614337504,-0.441009436,0.225940229,0.229438883,-0.8334548,-0.525973244,0.201946132,0.445941363,-0.317872739,-0.366010364,0.565087046,0.090753872,-0.616174741,-0.558019768,0.084202407,-0.555584485,-1.132782505,-1.031043428,-0.380049719,830.4395604,842.1245421,844.1391941,834.0659341,845.7509158,-0.171448,0.133118,0.970032,-0.919647,3.53653,3.880463
0.35796488,-0.421469355,-0.353552621,0.261240819,0.190284642,-0.682672065,-0.451100386,0.110788861,0.448825427,-0.630990125,-0.486243218,0.561164331,-0.048009979,-0.629015293,-0.607462391,-0.006644146,-0.495241341,-1.093689479,-1.105399989,-0.339529779,846.959707,845.7509158,847.3626374,838.9010989,838.4981685,-0.169006,0.128906,0.965271,-1.794434,2.699127,3.902893
0.361110222,-0.398558784,-0.450258524,0.225398864,0.079971461,-0.656773314,-0.495859527,0.001625605,0.415942124,-0.461274221,-0.322972768,0.560515173,0.037747333,-0.583149011,-0.606993846,-0.003258939,-0.502771621,-1.156351033,-1.117460882,-0.356818089,843.7362637,844.1391941,848.1684982,844.1391941,879.5970696,-0.166748,0.130798,0.972778,-0.837402,2.377625,3.872986
0.370347584,-0.399044534,-0.613235143,0.170050672,0.221737724,-0.543292874,-0.570541859,-0.185413894,0.467325807,-0.412251396,-0.322972768,0.445329163,0.091263449,-0.598707236,-0.665328247,0.061244039,-0.536288507,-1.181052236,-1.175168246,-0.368219786,824.7985348,838.9010989,847.3626374,832.0512821,862.6739927,-0.173828,0.130493,0.966858,-1.764526,2.355194,4.26178
0.203508591,-0.526670119,-0.68271871,0.170636777,0.294126471,-0.502470844,-0.553040081,-0.062689611,0.424907319,-0.400122378,-0.330389538,0.300677853,0.089862648,-0.662526704,-0.666353893,0.14442584,-0.561655873,-1.305894274,-1.079872871,-0.405578597,835.2747253,843.7362637,841.3186813,830.8424908,879.5970696,-0.171692,0.130005,0.966492,-1.637421,2.818756,3.708496
0.254186663,-0.485714792,-0.566758215,0.262690322,0.315608252,-0.350850697,-0.496842937,0.152320308,0.373104691,-0.520633189,-0.43128571,0.273464831,0.038889164,-0.735353987,-0.691584305,0.152001369,-0.521320585,-1.273219815,-1.079713485,-0.389231928,842.9304029,845.7509158,845.7509158,836.4835165,822.3809524,-0.172852,0.127991,0.973694,-0.747681,2.908478,3.91037
0.283463195,-0.689804195,-0.383223341,0.208769087,0.105082569,-0.404554058,-0.454907269,0.224889975,0.114913576,-0.529856696,-0.584531286,0.084717905,-0.039529527,-0.671901756,-0.604927148,0.071600841,-0.59333684,-1.145733998,-1.049359566,-0.29033111,841.7216117,844.9450549,844.5421245,839.7069597,841.3186813,-0.169067,0.130737,0.967041,-1.420593,2.923431,3.917847
